coluna,tipo,% nulos,qtd_nulos,valores_distintos,exemplo_valores,observacoes
case_id,bigint,0.0,0,1221522,"[29, 964, 2453]",
actualdpd_943P,double,0.04,2500,190,"[160.0, 8.0, 70.0]",
annuity_853A,double,3.84,250736,89298,"[7171.0, 3069.6, 5482.2]",
approvaldate_319D,string,46.13,3010294,5403,"['2019-08-08', '2019-08-22', '2017-05-14']",
byoccupationinc_3656910L,double,76.49,4991531,29700,"[24923.0, 45953.0, 7542.62]",
cancelreason_3545846M,string,0.0,0,76,"['P205_40_167', 'P150_0_30', 'P60_137_164']",
childnum_21L,double,54.54,3559424,21,"[8.0, 0.0, 7.0]",
creationdate_885D,string,0.0,66,5406,"['2016-08-17', '2015-05-01', '2017-12-05']",
credacc_actualbalance_314A,double,95.1,6205945,93622,"[49.598003, 157.66801, 24594.0]",
credacc_credlmt_575A,double,2.97,194132,52332,"[14452.0, 24594.0, 16754.6]",
credacc_maxhisbal_375A,double,95.1,6205945,77168,"[49.598003, 4.0020003, 5360.0]",
credacc_minhisbal_90A,double,95.1,6205945,75234,"[-999.938, -20427.059, 49.598003]",
credacc_status_367L,string,95.1,6205945,7,"['PCL', 'CL', 'CA']",
credacc_transactions_402L,double,95.1,6205945,103,"[8.0, 0.0, 69.0]",
credamount_590A,double,3.1,202198,252461,"[56994.0, 42594.0, 11323.8]",
credtype_587L,string,3.1,202198,4,"['REL', 'CAL', 'COL']",
currdebt_94A,double,34.42,2246512,531481,"[25781.904, 5315.7983, 872.6401]",
dateactivated_425D,string,48.14,3141753,4257,"['2019-08-08', '2019-08-23', '2019-08-22']",
district_544M,string,0.0,0,1063,"['P87_135_164', 'P181_5_55', 'P59_58_91']",
downpmt_134A,double,3.1,202198,22976,"[4800.0, 1300.6, 971.2]",
dtlastpmt_581D,string,72.79,4750384,2555,"['2019-08-08', '2019-08-22', '2019-08-23']",
dtlastpmtallstes_3545839D,string,61.96,4043621,2571,"['2019-08-08', '2019-08-22', '2019-08-23']",
education_1138M,string,0.0,0,6,"['P97_36_170', 'P33_146_175', 'P157_18_172']",
employedfrom_700D,string,59.55,3886478,10308,"['2010-09-24', '1979-05-15', '2009-06-23']",
familystate_726L,string,36.68,2393892,6,"['WIDOWED', 'SINGLE', 'MARRIED']",
firstnonzeroinstldate_307D,string,10.0,652482,5166,"['2007-04-29', '2017-12-05', '2015-05-01']",
inittransactioncode_279L,string,3.1,202198,4,"['CASH', 'POS', 'NDF']",
isbidproduct_390L,boolean,0.0,66,3,"[True, False]",
isdebitcard_527L,boolean,92.91,6062966,3,"[True, False]",
mainoccupationinc_437A,double,1.56,101983,28718,"[147000.0, 4800.0, 28979.8]",
maxdpdtolerance_577P,double,47.44,3095704,3644,"[496.0, 934.0, 305.0]",
num_group1,bigint,0.0,0,20,"[19, 0, 7]",
outstandingdebt_522A,double,34.6,2258268,384591,"[14241.572, 12892.639, 33372.6]",
pmtnum_8L,double,8.46,551820,61,"[8.0, 7.0, 49.0]",
postype_4733339M,string,0.0,0,9,"['P46_145_78', 'P169_115_83', 'P177_117_192']",
profession_152M,string,0.0,0,11508,"['P135_113_37', 'P133_97_187', 'P91_94_116']",
rejectreason_755M,string,0.0,0,18,"['P48_22_32', 'P30_86_84', 'P5_143_178']",
rejectreasonclient_4145042M,string,0.0,0,14,"['P30_86_84', 'P5_143_178', 'P84_14_61']",
revolvingaccount_394A,double,95.45,6229229,80701,"[780735800.0, 780787140.0, 742696200.0]",
status_219L,string,0.0,66,12,"['K', 'Q', 'T']",
tenor_203L,double,8.46,551820,61,"[8.0, 7.0, 49.0]",
